"ref_num","name","link","posted_on"
"QDi.305","ABDUL ROSYID RIDHO BA’ASYIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-rosyid-ridho-ba%E2%80%99asyir","12 March 2012"
"QDi.306","MUSTAFA HAJJI MUHAMMAD KHAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mustafa-hajji-muhammad-khan","14 March 2011"
"QDi.307","HAFIZ ABDUL SALAM BHUTTAVI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hafiz-abdul-salam-bhuttavi","14 March 2012"
"QDi.308","ZAFAR IQBAL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zafar-iqbal","14 March 2012"
"QDi.309","ABDUR REHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdur-rehman","14 March 2011"
"QDi.311","AYYUB BASHIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ayyub-bashir","18 October 2012"
"QDi.312","AAMIR ALI CHAUDHRY","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aamir-ali-chaudhry","18 October 2012"
"QDi.313","DJAMEL AKKACHA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/djamel-akkacha","05 February 2013"
"QDi.314","ABDERRAHMANE OULD EL AMAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abderrahmane-ould-el-amar","22 February 2013"
"QDi.315","HAMADA OULD MOHAMED EL KHAIRY","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hamada-ould-mohamed-el-khairy","22 February 2013"
"QDi.316","IYAD AG GHALI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/iyad-ag-ghali","25 February 2013"
"QDi.317","ABU MOHAMMED AL-JAWLANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-mohammed-al-jawlani","24 July 2013"
"QDi.318","MUHAMMAD JAMAL ABD-AL RAHIM AHMAD AL-KASHIF","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/muhammad-jamal-abd-al-rahim-ahmad-al-kashif","21 October 2013"
"QDi.319","MOHAMED LAHBOUS","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamed-lahbous","24 October 2013"
"QDi.320","ABD-AL-HAMID AL-MASLI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-al-hamid-al-masli","26 November 2013"
"QDi.322","ABUBAKAR MOHAMMED SHEKAU","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abubakar-mohammed-shekau","26 June 2014"
"QDi.323","SAID ARIF","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/said-arif","15 August 2014"
"QDi.324","ABDUL MOHSEN ABDALLAH IBRAHIM AL CHAREKH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-mohsen-abdallah-ibrahim-al-charekh","15 August 2014"
"QDi.325","ABOU MOHAMED AL ADNANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abou-mohamed-al-adnani","15 August 2014"
"QDi.326","HAMID HAMAD HAMID AL-‘ALI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hamid-hamad-hamid-al-%E2%80%98ali","15 August 2014"
"QDi.327","ABDELRAHMAN MOUHAMAD ZAFIR AL DABIDI AL JAHANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdelrahman-mouhamad-zafir-al-dabidi-al-jahani","15 August 2014"
"QDi.328","HAJJAJ BIN FAHD AL AJMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hajjaj-bin-fahd-al-ajmi","15 August 2014"
"QDi.329","AHMED ABDULLAH SALEH AL-KHAZMARI AL-ZAHRANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ahmed-abdullah-saleh-al-khazmari-al-zahrani","23 September 2014"
"QDi.330","AZZAM ABDULLAH ZUREIK AL-MAULID AL-SUBHI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/azzam-abdullah-zureik-al-maulid-al-subhi","23 September 2014"
"QDi.331","ANDERS CAMEROON OSTENSVIG DALE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/anders-cameroon-ostensvig-dale","23 September 2014"
"QDi.332","IBRAHIM SULEIMAN HAMAD AL-HABLAIN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-suleiman-hamad-al-hablain","23 September 2014"
"QDi.333","SEIFALLAH BEN OMAR BEN MOHAMED BEN HASSINE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/seifallah-ben-omar-ben-mohamed-ben-hassine","23 September 2014"
"QDi.334","'ABD AL-RAHMAN BIN 'UMAYR AL-NU'AYMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/%27abd-al-rahman-bin-%27umayr-al-nu%27aymi","23 September 2014"
"QDi.335","‘ABD AL-RAHMAN KHALAF ‘UBAYD JUDAY’ AL-‘ANIZI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/%E2%80%98abd-al-rahman-khalaf-%E2%80%98ubayd-juday%E2%80%99-al-%E2%80%98anizi","23 September 2014"
"QDi.336","ANAS HASAN KHATTAB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/anas-hasan-khattab","23 September 2014"
