ref_num,name,link,posted_on
QDe.143,ANSAR AL-SHARI’A IN TUNISIA (AAS-T),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-shari%E2%80%99a-in-tunisia-%28aas-t%29,23-Sep-14
QDe.144,ABDALLAH AZZAM BRIGADES (AAB),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/abdallah-azzam-brigades-%28aab%29,23-Sep-14
QDe.145,ANSAR AL CHARIA DERNA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-charia-derna,19-Nov-14
QDe.146,ANSAR AL CHARIA BENGHAZI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-charia-benghazi,19-Nov-14
QDe.147,HILAL AHMAR SOCIETY INDONESIA (HASI),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/hilal-ahmar-society-indonesia-%28hasi%29,13-Mar-15
QDe.148,THE ARMY OF MIGRANTS AND SUPPORTERS,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/the-army-of-migrants-and-supporters,6-Aug-15
QDe.149,Harakat Sham al-Islam,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/harakat-sham-al-islam,29-Feb-16
QDe.150,Mujahidin Indonesian Timur (MIT),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/mujahidin-indonesian-timur-%28mit%29,29-Sep-15
QDe.151,JUND AL-KHILAFAH IN ALGERIA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jund-al-khilafah-in-algeria,29-Sep-15
QDe.152,Jamaat-ul-Ahrar (JuA),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jamaat-ul-ahrar-%28jua%29,6-Jul-17
QDe.153,"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL, SYRIAN ARAB REPUBLIC)",https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/hanifa-money-exchange-office-%28branch-located-in,20-Jul-17
QDe.154,SELSELAT AL-THAHAB,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/selselat-al-thahab,20-Jul-17
QDe.155,JAYSH KHALID IBN AL WALEED,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jaysh-khalid-ibn-al-waleed,20-Jul-17
QDe.156,JUND AL AQSA,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jund-al-aqsa,20-Jul-17
QDe.157,AL-KAWTHAR MONEY EXCHANGE,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-kawthar-money-exchange,6-Mar-18
QDe.158,KHATIBA IMAM AL-BUKHARI (KIB),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/khatiba-imam-al-bukhari-%28kib%29,29-Mar-18
QDe.159,Jama'a Nusrat ul-Islam wa al-Muslimin (JNIM),https://www.un.org/securitycouncil/content/jamaa-nusrat-ul-islam-wa-al-muslimin-jnim,4-Oct-18
QDe.160,Tariq Gidar Group (TGG),https://www.un.org/securitycouncil/content/tariq-gidar-group-tgg,22-Mar-19
QDe.161,The Islamic State of Iraq and the Levant - Khorasan (ISIL - K),https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-khorasan-isil-k,14-May-19
QDe.162,Islamic State West Africa Province (ISWAP),https://www.un.org/securitycouncil/content/islamic-state-west-africa-province-iswap-0,23-Feb-20
QDe.163,ISLAMIC STATE IN THE GREATER SAHARA (ISGS),https://www.un.org/securitycouncil/content/islamic-state-greater-sahara-isgs,23-Feb-20
QDe.164,Jamaah Ansharut Daulah,https://www.un.org/securitycouncil/content/jamaah-ansharut-daulah,4-Mar-20
QDe.165,Islamic State in Iraq and the Levant - Libya,https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-libya,4-Mar-20
QDe.166,Islamic State in Iraq and the Levant - Yemen,https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-yemen,4-Mar-20
QDe.167,Jund al-Khilafah in Tunisia,https://www.un.org/securitycouncil/content/jund-al-khilafah-tunisia,30-Dec-21
QDe.168,KHATIBA AL-TAWHID WAL-JIHAD (KTJ),https://www.un.org/securitycouncil/content/khatiba-al-tawhid-wal-jihad-ktj,7-Mar-22
QDe.169,"Islamic State In Iraq And the Levant In South-East Asia (ISIL-SEA, ISIL-South East Asia)",https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-south-east-asia-isil-sea-isil-south-east-asia,27-Jan-23
QDi.001,MOHAMMED SALAHALDIN AND EL HALIM ZIDANE,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/sayf-al-adl,7-Sep-10
QDi.002,AMIN MUHAMMAD UL HAQ SAAM KHAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/amin-muhammad-ul-haq-saam-khan,10-Jan-11
QDi.003,SALIM AHMAD SALIM HAMDAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/salim-ahmad-salim-hamdan,7-Sep-10
QDi.006,AIMAN MUHAMMED RABI AL-ZAWAHIRI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aiman-muhammed-rabi-al-zawahiri,10-Jan-11
QDi.009,BILAL BIN MARWAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/bilal-bin-marwan,28-Mar-11
QDi.012,NASHWAN ABD AL-RAZZAQ ABD AL-BAQI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/nashwan-abd-al-razzaq-abd-al-baqi,10-Jan-11
QDi.014,TARIQ ANWAR EL SAYED AHMED,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tariq-anwar-el-sayed-ahmed,28-Mar-11
