"web_page","ref_num","name","link","posted_on"
"05-","QDi.081","RAMZI MOHAMED ABDULLAH BINALSHIBH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ramzi-mohamed-abdullah-binalshibh","16 September 2009"
"05-","QDi.082","MOUNIR EL MOTASSADEQ","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mounir-el-motassadeq","26 August 2009"
"05-","QDi.083","ZAKARYA ESSABAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zakarya-essabar","26 August 2009"
"05-","QDi.086","MOHAMAD IQBAL ABDURRAHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamad-iqbal-abdurrahman","30 October 2009"
"05-","QDi.087","NURJAMAN RIDUAN ISAMUDDIN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/nurjaman-riduan-isamuddin","28 March 2011"
"05-","QDi.092","MEHREZ BEN MAHMOUD BEN SASSI AL-AMDOUNI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mehrez-ben-mahmoud-ben-sassi-al-amdouni","25 January 2010"
"05-","QDi.095","LIONEL DUMONT","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/lionel-dumont","28 March 2011"
"05-","QDi.096","MOUSSA BEN OMAR BEN ALI ESSAADI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/moussa-ben-omar-ben-ali-essaadi","28 March 2011"
"05-","QDi.111","AGUS DWIKARNA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/agus-dwikarna","23 February 2010"
"05-","QDi.114","SALIM Y SALAMUDDIN JULKIPLI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/salim-y-salamuddin-julkipli","28 March 2011"
"05-","QDi.119","ARIS MUNANDAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aris-munandar","23 July 2009"
"05-","QDi.120","ABDUL HAKIM MURAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-hakim-murad","28 March 2011"
"05-","QDi.122","PARLINDUNGAN SIREGAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/parlindungan-siregar","23 February 2010"
"05-","QDi.123","YASSIN SYAWAL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yassin-syawal","23 February 2010"
"05-","QDi.124","YAZID SUFAAT","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yazid-sufaat","21 May 2009"
"05-","QDi.126","YUNOS UMPARA MOKLIS","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yunos-umpara-moklis","23 February 2010"
"05-","QDi.129","DJAMEL MOUSTFA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/djamel-moustfa","14 December 2009"
"05-","QDi.135","DAWOOD IBRAHIM KASKAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/dawood-ibrahim-kaskar","07 October 2011"
"05-","QDi.136","MOKHTAR BELMOKHTAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mokhtar-belmokhtar","08 July 2009"
"05-","QDi.139","IMED BEN MEKKI ZARKAOUI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/imed-ben-mekki-zarkaoui","28 March 2011"
"05-","QDi.140","KAMAL BEN MAOELDI BEN HASSAN AL-HAMRAOUI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/kamal-ben-maoeldi-ben-hassan-al-hamraoui","08 April 2011"
"05-","QDi.141","MAXAMED CABDULLAAH CIISE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/maxamed-cabdullaah-ciise","07 September 2010"
"05-","QDi.142","RADI ABD EL SAMIE ABOU EL YAZID EL AYASHI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/radi-abd-el-samie-abou-el-yazid-el-ayashi","07 September 2010"
"05-","QDi.143","HAMADI BEN ABDUL AZIZ BEN ALI BOUYEHIA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hamadi-ben-abdul-aziz-ben-ali-bouyehia","08 April 2011"
"05-","QDi.144","MOHAMMAD TAHIR HAMMID HUSSEIN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammad-tahir-hammid","08 April 2011"
"05-","QDi.147","MOHAMED AMIN MOSTAFA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamed-amin-mostafa","28 February 2011"
"06-","QDi.149","NOUREDDINE BEN ALI BEN BELKASSEM AL-DRISSI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/noureddine-ben-ali-ben-belkassem-al-drissi","27 January 2010"
"06-","QDi.150","AL-AZHAR BEN KHALIFA BEN AHMED ROUINE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/al-azhar-ben-khalifa-ben-ahmed-rouine","08 April 2011"
"06-","QDi.152","SAIFI AMMARI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/saifi-ammari","07 September 2010"
"06-","QDi.154","SULAIMAN JASSEM SULAIMAN ALI ABO GHAITH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/sulaiman-jassem-sulaiman-ali-abo-ghaith","16 September 2009"
"06-","QDi.155","DJAMEL LOUNICI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/djamel-lounici","26 August 2009"
"06-","QDi.156","ABD-AL-MAJID AZIZ AL-ZINDANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-al-majid-aziz-al-zindani","23 July 2009"
"06-","QDi.167","KAMEL DJERMANE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/kamel-djermane","16 September 2009"
"06-","QDi.177","HABIB BEN AHMED AL-LOUBIRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/habib-ben-ahmed-al-loubiri","23 February 2010"
"06-","QDi.184","MUHSIN FADHIL AYED ASHOUR AL-FADHLI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/muhsin-fadhil-ayed-ashour-al-fadhli","24 January 2011"
"06-","QDi.186","ABU RUSDAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-rusdan","30 October 2009"
"06-","QDi.187","ARIS SUMARSONO","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zulkarnaen","26 August 2009"
"06-","QDi.188","FAYCAL BOUGHANEMI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/faycal-boughanemi","07 May 2009"
"06-","QDi.190","ABDELKADER LAAGOUB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdelkader-laagoub","07 May 2009"
"06-","QDi.192","ABD ALLAH MOHAMED RAGAB ABDEL RAHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-allah-mohamed-ragab-abdel-rahman","08 April 2011"
"06-","QDi.193","ZAKI EZAT ZAKI AHMED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/zaki-ezat-zaki-ahmed","08 April 2011"
"06-","QDi.196","ALI SAYYID MUHAMED MUSTAFA BAKRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ali-sayyid-muhamed-mustafa-bakri","08 April 2011"
"06-","QDi.198","HANI AL-SAYYID AL-SEBAI YUSIF","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hani-al-sayyid-al-sebai-yusif","07 September 2010"
"06-","QDi.203","FARHAD KANABI AHMAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/farhad-kanabi-ahmad","16 September 2009"
"06-","QDi.204","ISNILON TOTONI HAPILON","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/isnilon-totoni-hapilon","26 August 2009"
"06-","QDi.208","RADULAN SAHIRON","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/radulan-sahiron","26 August 2009"
"06-","QDi.216","ABDULLAH ANSHORI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdullah-anshori","07 September 2010"
"06-","QDi.217","ABU BAKAR BA'ASYIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-bakar-ba%27asyir","08 April 2011"
